date,return
2008-02,-0.858901
2008-03,-4.517320
2008-04,6.254041
2008-05,0.731931
2008-06,-11.171659
2008-07,-1.806437
2008-08,1.770222
2008-09,-11.834902
2008-10,-13.075428
2008-11,-6.720097
2008-12,-4.436999
2009-01,-3.344980
2009-02,-8.987629
2009-03,1.305346
2009-04,14.901980
2009-05,4.046784
2009-06,-2.249280
2009-07,8.964515
2009-08,5.279378
2009-09,2.716251
2009-10,-2.074872
2009-11,1.080193
2009-12,4.562246
2010-01,-2.240551
2010-02,-0.281482
2010-03,7.661326
2010-04,-1.310853
2010-05,-4.554105
2010-06,-2.027837
2010-07,5.113668
2010-08,-1.776099
2010-09,3.498458
2010-10,2.468663
2010-11,-1.186044
2010-12,5.063745
2011-01,1.071060
2011-02,2.084082
2011-03,-3.287245
2011-04,3.434699
2011-05,-0.207504
2011-06,-4.436765
2011-07,-2.575252
2011-08,-10.052104
2011-09,-5.049664
2011-10,7.323477
2011-11,-1.462278
2011-12,2.102253
2012-01,4.198665
2012-02,4.145618
2012-03,-1.116054
2012-04,-1.542487
2012-05,-5.846440
2012-06,3.530832
2012-07,3.959291
2012-08,1.809945
2012-09,0.407388
2012-10,0.811502
2012-11,2.231991
2012-12,1.288451
2013-01,2.862208
2013-02,0.961894
2013-03,0.952691
2013-04,2.526582
2013-05,2.317848
2013-06,-6.731349
2013-07,6.974535
2013-08,-0.559382
2013-09,3.606884
2013-10,5.058908
2013-11,0.921069
2013-12,0.121680
2014-01,-1.014316
2014-02,5.029344
2014-03,-1.175112
2014-04,2.076899
2014-05,2.951450
2014-06,-1.873356
2014-07,-0.293362
2014-08,1.851280
2014-09,-0.750110
2014-10,-0.427176
2014-11,3.393313
2014-12,-2.254555
2015-01,8.432506
2015-02,6.760414
2015-03,1.367798
2015-04,0.401290
2015-05,1.621746
2015-06,-5.475067
2015-07,5.454379
2015-08,-8.370720
2015-09,-5.084275
2015-10,9.503460
2015-11,2.590582
2015-12,-4.921453
2016-01,-6.642124
2016-02,-2.100380
2016-03,0.953531
2016-04,2.104913
2016-05,2.784212
2016-06,-6.264113
2016-07,5.328861
2016-08,0.550566
2016-09,-1.123942
2016-10,0.242887
2016-11,1.090829
2016-12,5.366005
2017-01,-0.047759
2017-02,2.951806
2017-03,3.381109
2017-04,1.129946
2017-05,2.714430
2017-06,-3.726415
2017-07,1.017894
2017-08,-0.717327
2017-09,2.221069
2017-10,2.945694
2017-11,-1.702782
2017-12,0.419951
2018-01,2.027336
2018-02,-3.899448
2018-03,-1.848404
2018-04,4.380449
2018-05,0.274554
2018-06,-1.655804
2018-07,4.417412
2018-08,-2.234191
2018-09,-0.669814
2018-10,-4.663035
2018-11,-0.924582
2018-12,-6.221743
2019-01,7.151297
2019-02,4.028822
2019-03,1.929602
2019-04,4.161806
2019-05,-4.802236
2019-06,3.277583
2019-07,1.393084
2019-08,-1.225695
2019-09,2.415871
2019-10,2.203799
2019-11,2.804302
2019-12,2.405498
2020-01,-1.307419
2020-02,-8.158757
2020-03,-14.895317
2020-04,6.667325
2020-05,3.395620
2020-06,2.108089
2020-07,-0.052372
2020-08,3.131669
2020-09,-2.074767
2020-10,-4.444206
2020-11,13.766591
2020-12,3.129095
2021-01,-1.361463
2021-02,2.651114
2021-03,6.263233
2021-04,2.292889
2021-05,2.955697
2021-06,0.580899
2021-07,2.714033
2021-08,2.379369
2021-09,-3.997841
2021-10,5.179936
2021-11,-2.473742
2021-12,5.214470
2022-01,-3.380991
2022-02,-3.535601
2022-03,1.050401
2022-04,-0.606895
2022-05,-0.747035
2022-06,-9.200180
2022-07,9.213389
2022-08,-5.239651
2022-09,-7.368408
2022-10,7.390252
2022-11,7.025280
2022-12,-3.293543
2023-01,6.792187
2023-02,1.762802
2023-03,-0.690704
2023-04,2.983853
2023-05,-2.655910
2023-06,1.369712
2023-07,3.320557
2023-08,-2.581337
2023-09,-2.638779
2023-10,-2.576311
2023-11,6.596749
2023-12,3.487854
2024-01,1.844720
2024-02,1.821966
2024-03,3.946842
2024-04,-0.646745
2024-05,3.414723
2024-06,-2.342086
2024-07,2.540649
2024-08,1.629489
2024-09,-1.297937
2024-10,-2.334759
2024-11,1.039176
2024-12,-1.176817
2025-01,7.293286
2025-02,3.482488
2025-03,-4.215683
2025-04,-0.219586
2025-05,5.030384
2025-06,-2.512213
2025-07,2.237378
2025-08,0.916759
2025-09,0.436046
2025-10,3.706487
2025-11,0.827897
2025-12,2.375962
2026-01,3.661264
2026-02,3.848693
2026-03,-7.873393
2026-04,5.659713
